1;cây atm gần tôi;;;
704;Giới thiệu về sản phẩm cho vay thấu chi tiêu dùng?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
thấu;O;O;O;O
chi;O;O;O;O
tiêu;O;O;O;O
dùng?;O;O;O;O
;;;;
705;Tôi cần vay mua ô tô tiêu dùng;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
ô;O;O;O;O
tô;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
;;;;
706;vay vốn trả góp cần có đk j ak;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
vốn;O;O;O;O
trả;O;O;O;O
góp;O;O;O;O
cần;O;O;O;O
có;O;O;O;O
đk;O;O;O;O
j;O;O;O;O
ak;O;O;O;O
;;;;
707;vay mua o to tieu dung ntn;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
mua;O;O;O;O
o;O;O;O;O
to;O;O;O;O
tieu;O;O;O;O
dung;O;O;O;O
ntn;O;O;O;O
;;;;
708;Dạ e muốn vay thì sao ạ;;;
[INTENT];loans_general;O;O;O
Dạ;O;O;O;O
e;O;O;O;O
muốn;O;O;O;O
vay;O;O;O;O
thì;O;O;O;O
sao;O;O;O;O
ạ;O;O;O;O
;;;;
709;vay nhà;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
nhà;O;O;O;O
;;;;
710;minh can chi tra chi phi sh vay nn;;;
[INTENT];loans_general;O;O;O
minh;O;O;O;O
can;O;O;O;O
chi;O;O;O;O
tra;O;O;O;O
chi;O;O;O;O
phi;O;O;O;O
sh;O;O;O;O
vay;O;O;O;O
nn;O;O;O;O
;;;;
711;Giới thiệu về sản phẩm cho vay theo hạn mức thấu chi dành cho KHBL phục vụ hoạt động SXKD;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
theo;O;O;O;O
hạn;O;O;O;O
mức;O;O;O;O
thấu;O;O;O;O
chi;O;O;O;O
dành;O;O;O;O
cho;O;O;O;O
KHBL;O;O;O;O
phục;O;O;O;O
vụ;O;O;O;O
hoạt;O;O;O;O
động;O;O;O;O
SXKD;O;O;O;O
;;;;
712;Tôi cần vay để thanh toán hoạt động sản xuất?;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
để;O;O;O;O
thanh;O;O;O;O
toán;O;O;O;O
hoạt;O;O;O;O
động;O;O;O;O
sản;O;O;O;O
xuất?;O;O;O;O
;;;;
713;em muốn vay tiên ạ;;;
[INTENT];loans_general;O;O;O
em;O;O;O;O
muốn;O;O;O;O
vay;O;O;O;O
tiên;O;O;O;O
ạ;O;O;O;O
;;;;
714;Muon ho tro vay;;;
[INTENT];loans_general;O;O;O
Muon;O;O;O;O
ho;O;O;O;O
tro;O;O;O;O
vay;O;O;O;O
;;;;
715;Cho vay mua ô tô tiêu dùng như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
ô;O;O;O;O
tô;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
716;Vay tiền;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
tiền;O;O;O;O
;;;;
717;Giới thiệu về sản phẩm cho vay mua nhà dự án?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
dự;O;O;O;O
án?;O;O;O;O
;;;;
718;tư vấn vay tiêu dung cá nhân giúp em với ạ;;;
[INTENT];loans_general;O;O;O
tư;O;O;O;O
vấn;O;O;O;O
vay;O;O;O;O
tiêu;O;O;O;O
dung;O;O;O;O
cá;O;O;O;O
nhân;O;O;O;O
giúp;O;O;O;O
em;O;O;O;O
với;O;O;O;O
ạ;O;O;O;O
;;;;
719;Cho em hỏi ngân hàng mình có chính sách cho vay cho sinh viên kh ạ;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
em;O;O;O;O
hỏi;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
mình;O;O;O;O
có;O;O;O;O
chính;O;O;O;O
sách;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
cho;O;O;O;O
sinh;O;O;O;O
viên;O;O;O;O
kh;O;O;O;O
ạ;O;O;O;O
;;;;
720;Bên mình có hỗ trợ cho vay tiêu dùng ko ak;;;
[INTENT];loans_general;O;O;O
Bên;O;O;O;O
mình;O;O;O;O
có;O;O;O;O
hỗ;O;O;O;O
trợ;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
ko;O;O;O;O
ak;O;O;O;O
;;;;
721;Tôi muốn vay tiêu dùng?;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
vay;O;O;O;O
tiêu;O;O;O;O
dùng?;O;O;O;O
;;;;
722;vay tín chấp;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
tín;O;O;O;O
chấp;O;O;O;O
;;;;
723;Mình muốn tìm hiểu vay để mua đất;;;
[INTENT];loans_general;O;O;O
Mình;O;O;O;O
muốn;O;O;O;O
tìm;O;O;O;O
hiểu;O;O;O;O
vay;O;O;O;O
để;O;O;O;O
mua;O;O;O;O
đất;O;O;O;O
;;;;
724;Sao k xém được mức vay và lãi suất vậy ạ;;;
[INTENT];loans_general;O;O;O
Sao;O;O;O;O
k;O;O;O;O
xém;O;O;O;O
được;O;O;O;O
mức;O;O;O;O
vay;O;O;O;O
và;O;O;O;O
lãi;O;O;O;O
suất;O;O;O;O
vậy;O;O;O;O
ạ;O;O;O;O
;;;;
725;Mình muốn vay tiền;;;
[INTENT];loans_general;O;O;O
Mình;O;O;O;O
muốn;O;O;O;O
vay;O;O;O;O
tiền;O;O;O;O
;;;;
726;Tôi cần cấp hạn mức thấu chi;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
cấp;O;O;O;O
hạn;O;O;O;O
mức;O;O;O;O
thấu;O;O;O;O
chi;O;O;O;O
;;;;
727;Em mún hỏi về vay thẻ tina dụng;;;
[INTENT];loans_general;O;O;O
Em;O;O;O;O
mún;O;O;O;O
hỏi;O;O;O;O
về;O;O;O;O
vay;O;O;O;O
thẻ;O;O;O;O
tina;O;O;O;O
dụng;O;O;O;O
;;;;
728;Giới thiệu về sản phẩm thẻ tài chính cá nhân?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
thẻ;O;O;O;O
tài;O;O;O;O
chính;O;O;O;O
cá;O;O;O;O
nhân?;O;O;O;O
;;;;
729;Cho vay mua ô tô sản xuất kinh doanh như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
ô;O;O;O;O
tô;O;O;O;O
sản;O;O;O;O
xuất;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
730;Mình muốn hỏi xem các gói vay bên ngân hàng mình;;;
[INTENT];loans_general;O;O;O
Mình;O;O;O;O
muốn;O;O;O;O
hỏi;O;O;O;O
xem;O;O;O;O
các;O;O;O;O
gói;O;O;O;O
vay;O;O;O;O
bên;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
mình;O;O;O;O
;;;;
731;ô tô tiêu dùng;;;
[INTENT];loans_general;O;O;O
ô;O;O;O;O
tô;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
;;;;
732;Tư vấn vay vs ạ;;;
[INTENT];loans_general;O;O;O
Tư;O;O;O;O
vấn;O;O;O;O
vay;O;O;O;O
vs;O;O;O;O
ạ;O;O;O;O
;;;;
733;Vay mua đất và xây nhà như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
mua;O;O;O;O
đất;O;O;O;O
và;O;O;O;O
xây;O;O;O;O
nhà;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
734;Tôi cần vay nhà hàng, khách sạn;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
nhà;O;O;O;O
hàng,;O;O;O;O
khách;O;O;O;O
sạn;O;O;O;O
;;;;
735;Tôi muốn vay vốn mở thẻ có được không vậy;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
muốn;O;O;O;O
vay;O;O;O;O
vốn;O;O;O;O
mở;O;O;O;O
thẻ;O;O;O;O
có;O;O;O;O
được;O;O;O;O
không;O;O;O;O
vậy;O;O;O;O
;;;;
736;vay tiêu dùng;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
;;;;
737;Vay cho nhu cầu tiêu dùng của cá nhân?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
cho;O;O;O;O
nhu;O;O;O;O
cầu;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
của;O;O;O;O
cá;O;O;O;O
nhân?;O;O;O;O
;;;;
738;Giới thiệu về sản phẩm cho vay sản xuất kinh doanh nhỏ lẻ?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
sản;O;O;O;O
xuất;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
nhỏ;O;O;O;O
lẻ?;O;O;O;O
;;;;
739;ô tô kinh doanh;;;
[INTENT];loans_general;O;O;O
ô;O;O;O;O
tô;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
;;;;
740;Vay tien tra gop;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
tien;O;O;O;O
tra;O;O;O;O
gop;O;O;O;O
;;;;
741;cho em hỏi ngân hàng viettinbank có cho vay vốn không ạ;;;
[INTENT];loans_general;O;O;O
cho;O;O;O;O
em;O;O;O;O
hỏi;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
viettinbank;O;O;O;O
có;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
vốn;O;O;O;O
không;O;O;O;O
ạ;O;O;O;O
;;;;
742;Tôi cần vay ứng trước tiền bán chứng khoán;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
ứng;O;O;O;O
trước;O;O;O;O
tiền;O;O;O;O
bán;O;O;O;O
chứng;O;O;O;O
khoán;O;O;O;O
;;;;
743;Cho vay ứng trước tiền bán chứng khoán như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
ứng;O;O;O;O
trước;O;O;O;O
tiền;O;O;O;O
bán;O;O;O;O
chứng;O;O;O;O
khoán;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
744;Tôi cần vay để trả chi phí sinh hoạt?;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
để;O;O;O;O
trả;O;O;O;O
chi;O;O;O;O
phí;O;O;O;O
sinh;O;O;O;O
hoạt?;O;O;O;O
;;;;
745;Cho vay phát triển nông nghiệp nông thôn như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
phát;O;O;O;O
triển;O;O;O;O
nông;O;O;O;O
nghiệp;O;O;O;O
nông;O;O;O;O
thôn;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
746;vay ô tô;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
ô;O;O;O;O
tô;O;O;O;O
;;;;
747;Bên ngân hàng có hô trợ vay tín chấp ko bạn;;;
[INTENT];loans_general;O;O;O
Bên;O;O;O;O
ngân;O;O;O;O
hàng;O;O;O;O
có;O;O;O;O
hô;O;O;O;O
trợ;O;O;O;O
vay;O;O;O;O
tín;O;O;O;O
chấp;O;O;O;O
ko;O;O;O;O
bạn;O;O;O;O
;;;;
748;Cho vay cầm cố sổ tiết kiệm, giấy tờ có giá như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
cầm;O;O;O;O
cố;O;O;O;O
sổ;O;O;O;O
tiết;O;O;O;O
kiệm,;O;O;O;O
giấy;O;O;O;O
tờ;O;O;O;O
có;O;O;O;O
giá;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
749;Ở bên Ngân Hàng có chương trình cho vay vốn thế chấp số đỏ đất nông nghiệp không ạ?;;;
[INTENT];loans_general;O;O;O
Ở;O;O;O;O
bên;O;O;O;O
Ngân;O;O;O;O
Hàng;O;O;O;O
có;O;O;O;O
chương;O;O;O;O
trình;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
vốn;O;O;O;O
thế;O;O;O;O
chấp;O;O;O;O
số;O;O;O;O
đỏ;O;O;O;O
đất;O;O;O;O
nông;O;O;O;O
nghiệp;O;O;O;O
không;O;O;O;O
ạ?;O;O;O;O
;;;;
750;Cho vay kinh doanh tại chợ như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
tại;O;O;O;O
chợ;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
751;Vay sửa nhà như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
sửa;O;O;O;O
nhà;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
752;hỗ trợ về vay vốn.ngân hàng có thể tư vấn giúp được không ạ;;;
[INTENT];loans_general;O;O;O
hỗ;O;O;O;O
trợ;O;O;O;O
về;O;O;O;O
vay;O;O;O;O
vốn.ngân;O;O;O;O
hàng;O;O;O;O
có;O;O;O;O
thể;O;O;O;O
tư;O;O;O;O
vấn;O;O;O;O
giúp;O;O;O;O
được;O;O;O;O
không;O;O;O;O
ạ;O;O;O;O
;;;;
753;Tôi cần vay du học;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
du;O;O;O;O
học;O;O;O;O
;;;;
754;Vay xây nhà như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
xây;O;O;O;O
nhà;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
755;Cho vay nhà hàng, khách sạn như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
nhà;O;O;O;O
hàng,;O;O;O;O
khách;O;O;O;O
sạn;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
756;Vay xây sửa nhà như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
xây;O;O;O;O
sửa;O;O;O;O
nhà;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
757;viettin cho vay pt nông nghiệp nông thôn là nn thế;;;
[INTENT];loans_general;O;O;O
viettin;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
pt;O;O;O;O
nông;O;O;O;O
nghiệp;O;O;O;O
nông;O;O;O;O
thôn;O;O;O;O
là;O;O;O;O
nn;O;O;O;O
thế;O;O;O;O
;;;;
758;Mình có nhu cầu mua một chiếc xe để làm phương tiện đi chuyển, vậy bên mình có chính sách gì để hỗ trợ khong vậy anh chị;;;
[INTENT];loans_general;O;O;O
Mình;O;O;O;O
có;O;O;O;O
nhu;O;O;O;O
cầu;O;O;O;O
mua;O;O;O;O
một;O;O;O;O
chiếc;O;O;O;O
xe;O;O;O;O
để;O;O;O;O
làm;O;O;O;O
phương;O;O;O;O
tiện;O;O;O;O
đi;O;O;O;O
chuyển,;O;O;O;O
vậy;O;O;O;O
bên;O;O;O;O
mình;O;O;O;O
có;O;O;O;O
chính;O;O;O;O
sách;O;O;O;O
gì;O;O;O;O
để;O;O;O;O
hỗ;O;O;O;O
trợ;O;O;O;O
khong;O;O;O;O
vậy;O;O;O;O
anh;O;O;O;O
chị;O;O;O;O
;;;;
759;Vay mua nhà như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
760;minh muoốn mở thẻ tc cá nhân;;;
[INTENT];loans_general;O;O;O
minh;O;O;O;O
muoốn;O;O;O;O
mở;O;O;O;O
thẻ;O;O;O;O
tc;O;O;O;O
cá;O;O;O;O
nhân;O;O;O;O
;;;;
761;Giới thiệu về sản phẩm cho vay ứng trước tiền bán chứng khoán?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
ứng;O;O;O;O
trước;O;O;O;O
tiền;O;O;O;O
bán;O;O;O;O
chứng;O;O;O;O
khoán?;O;O;O;O
;;;;
762;Mìnhmuon vay được kg;;;
[INTENT];loans_general;O;O;O
Mìnhmuon;O;O;O;O
vay;O;O;O;O
được;O;O;O;O
kg;O;O;O;O
;;;;
763;Vay mua nhà đất như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
đất;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
764;Giới thiệu về sản phẩm cho vay kinh doanh tại chợ?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
tại;O;O;O;O
chợ?;O;O;O;O
;;;;
765;vay theo bao hiem nhan tho duoc khong;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
theo;O;O;O;O
bao;O;O;O;O
hiem;O;O;O;O
nhan;O;O;O;O
tho;O;O;O;O
duoc;O;O;O;O
khong;O;O;O;O
;;;;
766;Tôi cần vay cầm cố sổ tiết kiệm, giấy tờ có giá;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
cầm;O;O;O;O
cố;O;O;O;O
sổ;O;O;O;O
tiết;O;O;O;O
kiệm,;O;O;O;O
giấy;O;O;O;O
tờ;O;O;O;O
có;O;O;O;O
giá;O;O;O;O
;;;;
767;vay mua nhà;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
;;;;
768;Giới thiệu về sản phẩm cho vay nhà hàng, khách sạn?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
nhà;O;O;O;O
hàng,;O;O;O;O
khách;O;O;O;O
sạn?;O;O;O;O
;;;;
769;Giới thiệu về sản phẩm cho vay sản xuất kinh doanh siêu nhỏ?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
sản;O;O;O;O
xuất;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
siêu;O;O;O;O
nhỏ?;O;O;O;O
;;;;
770;vay mua nhà ở của viettin ntn nhỉ;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
ở;O;O;O;O
của;O;O;O;O
viettin;O;O;O;O
ntn;O;O;O;O
nhỉ;O;O;O;O
;;;;
771;Cho vay sản xuất kinh doanh siêu nhỏ như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
sản;O;O;O;O
xuất;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
siêu;O;O;O;O
nhỏ;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
772;tín chấp;;;
[INTENT];loans_general;O;O;O
tín;O;O;O;O
chấp;O;O;O;O
;;;;
773;ô tô;;;
[INTENT];loans_general;O;O;O
ô;O;O;O;O
tô;O;O;O;O
;;;;
774;minh muon vay de sx kinh doanh sieu nho le;;;
[INTENT];loans_general;O;O;O
minh;O;O;O;O
muon;O;O;O;O
vay;O;O;O;O
de;O;O;O;O
sx;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
sieu;O;O;O;O
nho;O;O;O;O
le;O;O;O;O
;;;;
775;Tôi cần vay tiền;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
tiền;O;O;O;O
;;;;
776;Cho vay theo hạn mức thấu chi dành cho KHBL phục vụ hoạt động SXKD như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
theo;O;O;O;O
hạn;O;O;O;O
mức;O;O;O;O
thấu;O;O;O;O
chi;O;O;O;O
dành;O;O;O;O
cho;O;O;O;O
KHBL;O;O;O;O
phục;O;O;O;O
vụ;O;O;O;O
hoạt;O;O;O;O
động;O;O;O;O
SXKD;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
777;vay thấu chi;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
thấu;O;O;O;O
chi;O;O;O;O
;;;;
778;Mình muốn vay tiền mặt;;;
[INTENT];loans_general;O;O;O
Mình;O;O;O;O
muốn;O;O;O;O
vay;O;O;O;O
tiền;O;O;O;O
mặt;O;O;O;O
;;;;
779;vay mua nhà dự án là như nào e nhỉ;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
dự;O;O;O;O
án;O;O;O;O
là;O;O;O;O
như;O;O;O;O
nào;O;O;O;O
e;O;O;O;O
nhỉ;O;O;O;O
;;;;
780;Tôi cần vay phát triển nông nghiệp nông thôn;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
phát;O;O;O;O
triển;O;O;O;O
nông;O;O;O;O
nghiệp;O;O;O;O
nông;O;O;O;O
thôn;O;O;O;O
;;;;
781;Đăng ký vay vốm;;;
[INTENT];loans_general;O;O;O
Đăng;O;O;O;O
ký;O;O;O;O
vay;O;O;O;O
vốm;O;O;O;O
;;;;
782;nhà hàng;;;
[INTENT];loans_general;O;O;O
nhà;O;O;O;O
hàng;O;O;O;O
;;;;
783;Có hổ trợ vay CMND hông;;;
[INTENT];loans_general;O;O;O
Có;O;O;O;O
hổ;O;O;O;O
trợ;O;O;O;O
vay;O;O;O;O
CMND;O;O;O;O
hông;O;O;O;O
;;;;
784;Vay nhận chuyển nhượng quyền sử dụng đất như nào?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
nhận;O;O;O;O
chuyển;O;O;O;O
nhượng;O;O;O;O
quyền;O;O;O;O
sử;O;O;O;O
dụng;O;O;O;O
đất;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
785;mình cần vốn để kinh doanh phòng gym;;;
[INTENT];loans_general;O;O;O
mình;O;O;O;O
cần;O;O;O;O
vốn;O;O;O;O
để;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
phòng;O;O;O;O
gym;O;O;O;O
;;;;
786;60 tuoi co vay duoc kg;;;
[INTENT];loans_general;O;O;O
60;O;O;O;O
tuoi;O;O;O;O
co;O;O;O;O
vay;O;O;O;O
duoc;O;O;O;O
kg;O;O;O;O
;;;;
787;Cho vay du học như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
du;O;O;O;O
học;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
788;Cho vay thấu chi tiêu dùng như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
thấu;O;O;O;O
chi;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
789;cho vay thế chấp;;;
[INTENT];loans_general;O;O;O
cho;O;O;O;O
vay;O;O;O;O
thế;O;O;O;O
chấp;O;O;O;O
;;;;
790;khách sạn;;;
[INTENT];loans_general;O;O;O
khách;O;O;O;O
sạn;O;O;O;O
;;;;
791;cho vay kd tại chợ là ntn đấy;;;
[INTENT];loans_general;O;O;O
cho;O;O;O;O
vay;O;O;O;O
kd;O;O;O;O
tại;O;O;O;O
chợ;O;O;O;O
là;O;O;O;O
ntn;O;O;O;O
đấy;O;O;O;O
;;;;
792;E muốn Vay online dk ko a?;;;
[INTENT];loans_general;O;O;O
E;O;O;O;O
muốn;O;O;O;O
Vay;O;O;O;O
online;O;O;O;O
dk;O;O;O;O
ko;O;O;O;O
a?;O;O;O;O
;;;;
793;Toi muoi vay tien ben anh c a;;;
[INTENT];loans_general;O;O;O
Toi;O;O;O;O
muoi;O;O;O;O
vay;O;O;O;O
tien;O;O;O;O
ben;O;O;O;O
anh;O;O;O;O
c;O;O;O;O
a;O;O;O;O
;;;;
794;Da cho em hoi cach lam sao vay tien ạ;;;
[INTENT];loans_general;O;O;O
Da;O;O;O;O
cho;O;O;O;O
em;O;O;O;O
hoi;O;O;O;O
cach;O;O;O;O
lam;O;O;O;O
sao;O;O;O;O
vay;O;O;O;O
tien;O;O;O;O
ạ;O;O;O;O
;;;;
795;Tôi cần vay mua nhà dự án;;;
[INTENT];loans_general;O;O;O
Tôi;O;O;O;O
cần;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
dự;O;O;O;O
án;O;O;O;O
;;;;
796;Muốn vay tiêu dùng;;;
[INTENT];loans_general;O;O;O
Muốn;O;O;O;O
vay;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
;;;;
797;nhỏ le;;;
[INTENT];loans_general;O;O;O
nhỏ;O;O;O;O
le;O;O;O;O
;;;;
798;vay siêu nhỏ;;;
[INTENT];loans_general;O;O;O
vay;O;O;O;O
siêu;O;O;O;O
nhỏ;O;O;O;O
;;;;
799;Cho vay mua nhà dự án như nào?;;;
[INTENT];loans_general;O;O;O
Cho;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
nhà;O;O;O;O
dự;O;O;O;O
án;O;O;O;O
như;O;O;O;O
nào?;O;O;O;O
;;;;
800;Giới thiệu về sản phẩm cho vay mua ô tô tiêu dùng?;;;
[INTENT];loans_general;O;O;O
Giới;O;O;O;O
thiệu;O;O;O;O
về;O;O;O;O
sản;O;O;O;O
phẩm;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
mua;O;O;O;O
ô;O;O;O;O
tô;O;O;O;O
tiêu;O;O;O;O
dùng?;O;O;O;O
;;;;
801;Vay cho công việc kinh doanh của cá nhân?;;;
[INTENT];loans_general;O;O;O
Vay;O;O;O;O
cho;O;O;O;O
công;O;O;O;O
việc;O;O;O;O
kinh;O;O;O;O
doanh;O;O;O;O
của;O;O;O;O
cá;O;O;O;O
nhân?;O;O;O;O
;;;;
802;bên Viettin có cho vay tín chấp tiêu dùng không nhỉ?;;;
[INTENT];loans_general;O;O;O
bên;O;O;O;O
Viettin;O;O;O;O
có;O;O;O;O
cho;O;O;O;O
vay;O;O;O;O
tín;O;O;O;O
chấp;O;O;O;O
tiêu;O;O;O;O
dùng;O;O;O;O
không;O;O;O;O
nhỉ?;O;O;O;O
